Persona,Lower Bound,Upper Bound
WC,67.93091153618911,109.35643705424229
Analytic,-0.17176612688328885,0.481300053731194
Clout,-2.0781383691841726,-0.8716155598454959
Authentic,-0.19110268762322735,1.4423028694051954
Tone,-4.714071448801089,-0.48323997807496655
WPS,67.93091153618911,109.35643705424229
Sixltr,-1.407633884629148,-0.8443580516082332
Dic,-0.48775243348132724,0.05615789339800292
function,-0.25904017348088726,0.05671929306124221
pronoun,-0.013848120699157737,0.09693921665959647
ppron,-0.02742266439295682,0.017070811571789524
i,-0.0006053470182170589,0.021922508147202535
we,-0.0009703154252727691,0.0047388819158483315
you,-0.0366088508855537,-0.0001532431685220409
shehe,-0.003289302041197607,0.005577235699579561
they,-0.0012945357553430948,0.0004861587172055677
ipron,-0.00802275523137961,0.09342667469746144
article,0.011946939355607075,0.026965832198350026
prep,-0.13926917206174128,-0.009021402229414069
auxverb,-0.1409089688473266,-0.0033472341692959706
adverb,-0.10718709732214667,0.11650405005736371
conj,-0.07096453594048467,-0.004397191125316682
negate,-0.07276370900827825,-0.002874594744717268
verb,-0.07744997750112664,0.43760213919512997
adj,-0.18939789729894613,0.029205671169203307
compare,-0.10355778700370974,0.01637001688062431
interrog,-0.008128301358901973,0.010263231921217827
number,0.028942123765465344,0.18880067821104685
quant,-0.13673616671466032,-0.002775502113398984
affect,-0.489458106930697,-0.14151165787296552
posemo,-0.35277073204246706,-0.1105646102198357
negemo,-0.20084783460982936,0.041376235109387274
anx,-0.1954050374479821,-0.09470594446334069
anger,0.09048108500553573,0.1646314256159425
sad,0.007477432122994954,0.09945249718455557
social,-0.48625705314675727,-0.1485577723577097
family,-0.15488712487658488,0.03460327397498711
friend,-0.04181108089266686,0.01727584546885699
female,0.013285595191504795,0.11203465857927303
male,-0.017869508244385865,0.09156217244130897
cogproc,-0.5666260268424832,-0.1653768867567731
insight,-0.30773892152068355,-0.11936160694830171
cause,-0.16249081557135175,-0.04594359933868436
discrep,-0.1632862111203615,-0.01853427966163851
tentat,-0.08820755244567734,0.06519739740756324
certain,-0.16967694402718653,-0.040118766485496546
differ,0.013203975157746357,0.12708589274702048
percept,-0.2188093162290779,0.03925940274184386
see,0.12535731339592726,0.23626535006232297
hear,-0.047336742289193434,0.06946165918850838
feel,-0.3066256275677256,-0.1196636621177115
bio,-0.05679936573255234,0.2529892378932502
body,0.12231840063046162,0.31633131537188186
health,-0.39726740566054003,-0.17542976248339054
sexual,0.017208811415326646,0.09084415973681231
ingest,0.07993837731609776,0.1897786082925026
drives,-0.27480344361156384,0.016833609832499263
affiliation,-0.14693990470110807,-0.006080425431799319
achieve,-0.09359687580029877,0.05123334314435904
power,-0.20199774864476744,-0.06056655624216452
reward,0.03222560027208106,0.20555856248638654
risk,-0.06984679878789267,0.009529159722964184
focuspast,-0.11893665057695649,0.28419966943953145
focuspresent,-0.13540651060209397,0.21851236534185536
focusfuture,-0.14534419383637184,-0.04409523671053487
relativ,-0.10846222767995173,0.3949055673221774
motion,-0.1171506673949143,0.10253618852853495
space,-0.038381738542723795,0.205410424972231
time,-0.12488660635375479,0.2746640603982833
work,-0.14492448316155548,0.021911500621137447
leisure,-0.030124275756465688,0.06104167795692804
home,0.05643478868109241,0.17444893297723263
money,0.0406753448322327,0.09147743617282209
relig,-0.0038220948422684996,0.0326355858439136
death,-0.002234607657223055,0.022283144816131167
informal,0.09479780148295748,0.226128885491503
swear,0.083895213674077,0.1503271913954684
netspeak,-0.06107904306052565,0.003618022723544126
assent,0.03211884039033561,0.07745726907411685
nonflu,-0.010971295064881308,0.03162713373483977
filler,-0.00039431257129358965,0.022533430576466243
AllPunc,0.1883943359829625,0.326446832254892
Period,,
Comma,,
Colon,,
SemiC,,
QMark,,
Exclam,,
Dash,,
Quote,,
Apostro,,
Parenth,,
OtherP,0.1883943359829625,0.326446832254892
