,10 chunks/story
13332,"[[5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 1, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 2, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3093,"[[9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [10, 1, 0, 2, 1, 0, 0, 0, 0, 0], [9, 0, 3, 0, 0, 1, 0, 0, 0, 0], [5, 6, 0, 0, 1, 1, 0, 0, 0, 0], [5, 4, 0, 1, 0, 0, 0, 0, 0, 0], [9, 1, 0, 0, 1, 2, 0, 0, 0, 0], [9, 1, 0, 0, 0, 1, 0, 0, 1, 0], [8, 0, 0, 0, 1, 3, 0, 0, 0, 0], [10, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
5704,"[[11, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 4, 0, 0, 0, 1, 0, 0, 0, 0], [11, 0, 0, 0, 0, 3, 0, 0, 0, 0], [13, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 1, 0, 0, 0, 0, 0, 0], [10, 0, 1, 1, 0, 0, 0, 0, 0, 0], [11, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 1, 1, 2, 1, 0, 0, 0, 0, 0], [10, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13336,"[[2, 0, 0, 1, 0, 0, 0, 1, 0, 0], [5, 0, 0, 4, 0, 2, 0, 0, 0, 0], [7, 0, 0, 1, 0, 1, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [7, 1, 0, 2, 0, 0, 0, 0, 0, 0], [5, 0, 2, 2, 1, 0, 0, 0, 0, 0], [5, 2, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 1, 1, 0, 0, 0, 0, 0, 0], [7, 0, 2, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
13337,"[[8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [12, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 3, 0, 0, 1, 0, 0, 1, 0, 0], [13, 0, 0, 0, 0, 1, 0, 0, 1, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [12, 0, 1, 0, 0, 2, 0, 0, 1, 0], [10, 0, 0, 1, 0, 0, 0, 0, 0, 0], [10, 0, 2, 2, 2, 0, 0, 0, 0, 0], [15, 0, 2, 2, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13457,"[[9, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [12, 2, 0, 0, 0, 0, 0, 0, 0, 0], [10, 0, 2, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 1, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 1, 0, 0, 0, 0, 0], [8, 1, 1, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
5718,"[[13, 1, 2, 0, 0, 0, 1, 0, 0, 0], [1, 3, 1, 3, 0, 0, 0, 0, 0, 0], [11, 4, 2, 1, 0, 0, 0, 0, 0, 0], [5, 4, 2, 1, 1, 2, 0, 0, 1, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13, 3, 2, 0, 0, 0, 0, 0, 0, 0], [13, 3, 3, 0, 0, 0, 0, 0, 0, 0], [11, 5, 1, 1, 0, 0, 0, 1, 0, 0], [11, 3, 2, 0, 0, 1, 0, 0, 0, 0], [12, 1, 0, 0, 0, 0, 0, 1, 0, 0]]"
5720,"[[7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [10, 0, 1, 0, 1, 0, 0, 1, 0, 0], [8, 1, 0, 1, 1, 1, 0, 0, 1, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 1, 0, 0, 0, 0, 0], [10, 0, 3, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 1, 0, 0, 0, 0, 0], [3, 2, 2, 2, 1, 1, 0, 1, 0, 0], [3, 0, 1, 0, 1, 0, 0, 0, 0, 0]]"
13458,"[[9, 0, 3, 1, 0, 0, 0, 0, 0, 0], [17, 0, 1, 0, 0, 0, 0, 1, 0, 0], [17, 0, 1, 0, 1, 0, 0, 1, 0, 0], [19, 0, 1, 0, 0, 0, 0, 0, 0, 0], [21, 0, 0, 0, 1, 0, 0, 0, 0, 0], [11, 0, 3, 0, 1, 0, 0, 0, 0, 0], [15, 0, 5, 0, 1, 0, 0, 0, 0, 0], [13, 0, 2, 0, 0, 0, 1, 0, 0, 0], [7, 1, 7, 0, 3, 1, 0, 2, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
5721,"[[5, 3, 1, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [7, 2, 0, 0, 3, 0, 0, 0, 0, 0], [7, 3, 0, 0, 2, 0, 0, 0, 0, 0], [10, 1, 0, 0, 1, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 1, 1, 0, 0, 0, 0, 0], [9, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 2, 0, 0, 0, 0, 0]]"
