,Statistics,P-Values
Author,6.880294111055576,6.651233721944964e-12
We,4.1183149278470355,3.873589646024238e-05
Baby,3.014929304203018,0.0025823525047873135
Doctor,4.477397672719347,7.711554176371984e-06
Partner,2.4949761194509725,0.012626226810931986
Nurse,2.364929653375143,0.018068687774368385
Midwife,2.771710703029754,0.005595373934110368
Family,2.5871414779941193,0.009703504419529588
Anesthesiologist,0.3706494122784209,0.7109132253901496
Doula,1.7246108833061689,0.08465489780723201
Author,8.061442791028123,9.210124592636016e-16
We,4.957173891247699,7.371421005124099e-07
Baby,0.953857000593471,0.34019876639555346
Doctor,3.179323287345648,0.0014845422167055946
Partner,1.704438475133653,0.08835678004028409
Nurse,2.005334512695449,0.04497715247335719
Midwife,2.217545389170593,0.026627356380517116
Family,3.2273348304711744,0.0012569603751462054
Anesthesiologist,0.7068955846268341,0.47966189791543
Doula,1.442842764845344,0.1491228239242687
Author,7.6090741398033055,3.2381511681274385e-14
We,5.509374375581157,3.7680031195557564e-08
Baby,0.7088180173465081,0.47846804212466343
Doctor,3.381738378218744,0.000725407808609051
Partner,1.1302443952697456,0.2584235026806518
Nurse,2.362287823740213,0.018197840456777463
Midwife,1.930403086510863,0.0536092618065829
Family,3.554187119005417,0.0003823952477348191
Anesthesiologist,-0.8718391004342141,0.38333495681766006
Doula,2.6605904955255344,0.007823462912607118
Author,7.575458384150385,4.1860741867055944e-14
We,2.575890775107079,0.01002458891853632
Baby,0.5793197248793255,0.562397646337776
Doctor,2.4315553434336503,0.015066488123831618
Partner,1.084617450533525,0.2781395881467318
Nurse,3.8069236227361887,0.000142266402227357
Midwife,1.1499199008023848,0.2502278339329448
Family,5.289098116177635,1.2776983794349627e-07
Anesthesiologist,1.1583403824394745,0.24677643064950067
Doula,2.2299281730878473,0.025793199410307346
Author,6.615817703138427,4.052309912810747e-11
We,3.074812468605003,0.002116883494440584
Baby,2.340597240221673,0.019289164613467413
Doctor,2.4273174172107823,0.01524345827969299
Partner,1.0185914899345454,0.3084426207743868
Nurse,2.5691218079882723,0.010222298128237935
Midwife,0.2247708116159459,0.8221660864405074
Family,4.092190259826708,4.3355325600150595e-05
Anesthesiologist,2.532021360465048,0.011368846194856083
Doula,1.9039652074097992,0.056967866674079284
Author,7.050158454373253,2.0116364001999895e-12
We,2.599880316620116,0.0093510454821672
Baby,3.658630191133823,0.00025598717832187555
Doctor,2.6804740459127507,0.007374143439838206
Partner,2.1788746251342075,0.029384112707025154
Nurse,3.645690372537006,0.0002691865757455205
Midwife,1.6479775533378014,0.0994155083371075
Family,5.174095202076599,2.3730400907181328e-07
Anesthesiologist,0.6931775547403809,0.4882279712638452
Doula,2.1283064974515753,0.03335687371984931
Author,6.267449025225457,3.954940101968399e-10
We,1.965501907180624,0.04940739438714575
Baby,2.0811408996734113,0.037468062231008084
Doctor,2.416863515402215,0.015687848984233817
Partner,0.7353665768303892,0.46214823743973277
Nurse,3.2442606875468782,0.0011847355903462583
Midwife,1.9833986106560921,0.047373538733240884
Family,4.165395505802869,3.156665576813803e-05
Anesthesiologist,0.947774756187713,0.34328658413195323
Doula,2.028907036826279,0.0425167700367661
Author,6.112355777461113,1.0505756022399997e-09
We,3.755350774006791,0.00017492184998472556
Baby,1.0578002156350323,0.2901938948894807
Doctor,2.2521584328703548,0.024352303963610097
Partner,0.9547137718582792,0.33976523811992043
Nurse,0.7704752231439913,0.4410517844177628
Midwife,-0.1811288474368075,0.8562732460523099
Family,3.7385084765905683,0.0001870319777380863
Anesthesiologist,1.352825054780249,0.17616821675179115
Doula,1.272463725987647,0.203263242049367
Author,5.155767475156484,2.6160672664173726e-07
We,3.587943992021551,0.00033625220099406985
Baby,-0.2314074705340819,0.8170070377211995
Doctor,1.1525839074809345,0.24913227819326708
Partner,0.7125339431152284,0.47616501428905844
Nurse,1.3697320153476615,0.17082757604506676
Midwife,0.3262897203657678,0.7442178210882133
Family,3.657365549346883,0.0002572499106023872
Anesthesiologist,0.9894498569467175,0.3224874647917496
Doula,-0.10701377436617811,0.9147820311691108
Author,2.6107387358255867,0.009059681779266448
We,2.2146876924094085,0.026823140120119538
Baby,1.7319208804130761,0.08334480936097413
Doctor,1.8012945399267637,0.07171228345932017
Partner,1.1841868721992934,0.23639126616915515
Nurse,1.7697493699366929,0.07682537677263776
Midwife,-1.171353616639731,0.24150839799965598
Family,1.5711079937583643,0.1162162078841098
Anesthesiologist,0.6762050499763459,0.49893945326271594
Doula,1.023891933983223,0.3059322275835433
