,10 chunks/story
13255,"[[4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [3, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0, 0, 0, 0], [4, 0, 2, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
7629,"[[7, 4, 2, 0, 1, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 1, 0], [6, 1, 0, 0, 0, 0, 0, 0, 0, 0], [10, 1, 0, 0, 3, 0, 0, 0, 0, 0], [9, 1, 0, 0, 1, 1, 0, 0, 0, 0], [6, 2, 2, 0, 0, 0, 0, 0, 0, 0], [7, 3, 1, 0, 1, 1, 0, 0, 0, 0], [3, 6, 0, 0, 0, 0, 0, 0, 0, 0], [4, 5, 2, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
7631,"[[13, 0, 0, 0, 0, 0, 0, 0, 0, 0], [12, 0, 1, 0, 1, 0, 1, 0, 0, 0], [16, 0, 1, 0, 0, 0, 1, 0, 0, 0], [9, 4, 1, 0, 1, 0, 0, 0, 0, 0], [16, 1, 0, 0, 0, 1, 0, 0, 0, 0], [13, 1, 1, 0, 1, 1, 0, 0, 0, 0], [14, 0, 0, 0, 1, 2, 0, 0, 0, 0], [14, 1, 0, 0, 0, 1, 1, 0, 0, 0], [14, 1, 2, 0, 0, 0, 0, 0, 0, 0], [11, 0, 3, 2, 0, 0, 0, 0, 0, 0]]"
7633,"[[7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 0, 1, 0, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 1, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
12375,"[[2, 1, 1, 1, 2, 0, 0, 0, 0, 0], [2, 1, 2, 1, 1, 0, 0, 1, 0, 0], [9, 2, 0, 0, 1, 2, 0, 0, 0, 0], [4, 1, 2, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 2, 0, 0, 2, 0, 0, 0, 0, 0], [1, 3, 1, 0, 2, 0, 0, 0, 0, 0], [5, 0, 0, 1, 3, 0, 0, 0, 0, 0], [1, 5, 0, 0, 1, 0, 0, 0, 0, 0], [1, 2, 0, 0, 1, 0, 0, 0, 0, 0]]"
7634,"[[6, 2, 1, 0, 0, 0, 0, 0, 0, 0], [3, 1, 3, 0, 0, 0, 0, 0, 0, 0], [8, 2, 3, 0, 2, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 1, 0, 0, 0], [2, 4, 1, 0, 0, 0, 1, 0, 0, 0], [10, 1, 0, 0, 1, 0, 3, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 3, 0, 0, 0, 0, 2, 0, 0, 0], [2, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13257,"[[9, 1, 0, 1, 0, 0, 1, 0, 0, 0], [8, 2, 1, 0, 0, 0, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 2, 0, 0, 0], [11, 1, 1, 0, 0, 0, 2, 0, 0, 0], [12, 1, 1, 0, 0, 0, 0, 0, 0, 0], [12, 0, 1, 0, 0, 0, 0, 0, 0, 0], [14, 0, 2, 0, 1, 0, 1, 0, 0, 0], [11, 0, 2, 0, 0, 0, 3, 0, 0, 0], [13, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13259,"[[3, 0, 1, 0, 0, 0, 0, 1, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 3, 0, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [3, 2, 1, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13190,"[[11, 0, 0, 2, 0, 0, 0, 0, 0, 0], [7, 2, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 1, 0, 0, 1, 0, 0, 0, 0], [5, 2, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 1, 1, 0, 0, 0, 0, 0, 0], [9, 0, 2, 1, 1, 0, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
13191,"[[10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 2, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 2, 2, 0, 0, 0, 0], [9, 0, 0, 0, 0, 1, 0, 0, 0, 0], [8, 0, 0, 0, 0, 1, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [10, 0, 0, 2, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0]]"
13192,"[[5, 0, 0, 0, 0, 1, 0, 0, 0, 0], [9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 1, 0, 0, 1, 0, 0, 0, 0], [7, 0, 1, 0, 0, 2, 0, 0, 0, 0], [5, 0, 0, 2, 0, 0, 0, 0, 0, 0], [11, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 2, 0, 0, 0, 0, 0, 0, 0]]"
1298,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 1, 0, 0, 0, 0, 0, 1], [4, 0, 2, 0, 0, 0, 0, 0, 0, 0], [6, 1, 0, 0, 3, 0, 0, 0, 0, 3], [6, 2, 1, 0, 1, 0, 0, 0, 0, 1], [8, 0, 0, 1, 0, 0, 0, 0, 0, 1], [9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 1, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13194,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 3, 0, 3, 0, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0, 0]]"
13195,"[[12, 0, 2, 1, 0, 0, 0, 0, 0, 0], [16, 0, 0, 0, 0, 0, 0, 0, 0, 0], [16, 0, 0, 1, 1, 0, 0, 0, 0, 0], [14, 1, 1, 2, 0, 3, 0, 0, 0, 0], [15, 0, 0, 0, 1, 1, 0, 0, 1, 0], [13, 0, 1, 2, 1, 3, 0, 0, 0, 0], [10, 0, 2, 1, 0, 3, 0, 0, 0, 0], [9, 0, 3, 5, 0, 5, 0, 0, 0, 0], [16, 1, 1, 0, 0, 0, 0, 0, 0, 0], [8, 4, 1, 0, 0, 0, 0, 0, 0, 0]]"
