,10 chunks/story
5862,"[[19, 5, 1, 2, 1, 1, 0, 0, 0, 0], [17, 2, 0, 3, 1, 0, 0, 1, 0, 0], [20, 3, 1, 2, 3, 0, 0, 0, 0, 0], [22, 1, 2, 1, 0, 0, 0, 0, 0, 0], [16, 3, 2, 1, 2, 1, 0, 0, 0, 0], [28, 4, 1, 1, 1, 3, 0, 0, 1, 0], [16, 2, 1, 0, 3, 2, 0, 0, 1, 0], [24, 1, 1, 0, 0, 3, 0, 0, 0, 0], [7, 4, 0, 0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
5868,"[[15, 1, 2, 0, 0, 0, 0, 0, 0, 0], [12, 2, 1, 0, 1, 0, 0, 1, 0, 0], [11, 1, 4, 2, 1, 0, 0, 0, 0, 0], [12, 0, 1, 1, 0, 1, 0, 0, 0, 0], [13, 2, 1, 2, 1, 1, 0, 0, 0, 0], [12, 1, 3, 1, 2, 0, 0, 1, 2, 0], [8, 0, 1, 0, 0, 3, 0, 0, 0, 0], [15, 0, 0, 1, 0, 1, 0, 0, 1, 0], [9, 3, 4, 0, 0, 0, 0, 1, 0, 0], [2, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
13221,"[[5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 1, 1, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 1, 0, 0, 0, 0, 0], [6, 0, 1, 2, 0, 1, 0, 0, 0, 0], [4, 0, 0, 0, 1, 0, 0, 0, 0, 0], [7, 0, 1, 0, 2, 0, 0, 0, 0, 0], [3, 2, 1, 0, 0, 0, 0, 1, 0, 0]]"
13223,"[[5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 2, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
5871,"[[11, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 0, 0, 1, 0, 0, 0, 0], [12, 0, 2, 0, 0, 2, 0, 0, 0, 0], [7, 0, 0, 0, 0, 1, 0, 0, 0, 0], [8, 0, 0, 0, 0, 1, 0, 0, 0, 0], [8, 0, 0, 1, 1, 1, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 3, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
5872,"[[10, 0, 0, 0, 1, 0, 0, 0, 0, 0], [7, 3, 0, 0, 1, 0, 0, 0, 0, 0], [1, 4, 0, 0, 0, 0, 2, 0, 0, 0], [11, 0, 0, 0, 2, 0, 1, 0, 0, 0], [8, 1, 0, 0, 1, 0, 2, 0, 0, 0], [8, 1, 0, 3, 1, 0, 1, 0, 0, 0], [3, 2, 0, 1, 1, 0, 1, 0, 0, 0], [7, 0, 0, 3, 1, 0, 1, 0, 0, 0], [6, 0, 1, 0, 1, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
13226,"[[4, 2, 5, 0, 0, 0, 0, 0, 0, 0], [4, 0, 2, 2, 2, 0, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 3, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 2, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 3, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 3, 0, 0, 1, 0, 0, 0, 0, 0]]"
14087,"[[9, 1, 1, 1, 0, 0, 0, 0, 0, 0], [12, 5, 4, 0, 1, 0, 0, 0, 0, 0], [10, 3, 2, 0, 1, 0, 0, 0, 0, 0], [9, 2, 0, 0, 0, 0, 0, 0, 0, 0], [8, 5, 2, 0, 0, 0, 0, 0, 0, 0], [5, 8, 3, 0, 0, 0, 0, 0, 0, 0], [11, 3, 0, 0, 0, 0, 0, 0, 2, 0], [13, 4, 7, 0, 0, 1, 0, 0, 0, 0], [11, 5, 3, 0, 0, 3, 0, 0, 0, 0], [3, 9, 1, 0, 0, 0, 0, 0, 0, 0]]"
3987,"[[2, 0, 1, 0, 1, 0, 0, 0, 0, 0], [3, 1, 0, 0, 1, 0, 0, 0, 0, 0], [6, 0, 2, 2, 1, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 1, 1, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 2, 3, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 1, 1, 0, 0, 0, 0, 0, 0, 0]]"
13228,"[[5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [10, 2, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 1, 0, 0, 0], [4, 0, 0, 0, 2, 0, 1, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 1, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
