Persona,Lower Bound,Upper Bound
Author,-3.6149507079452063,1.790862125086187
We,-0.18188097353358323,0.8300607101099607
Baby,-0.8999750371062033,-0.24447821363119948
Doctor,-0.18179267443537434,0.25949052785590826
Partner,-0.525720805069513,-0.03045665571357417
Nurse,-0.09114330921531574,0.2941854143960865
Midwife,-0.24034949290548557,0.13098553854569783
Family,0.25794781379673026,0.5460383721200884
Anesthesiologist,-0.06561120924423297,0.051110869389183806
Doula,-0.004207134187301925,0.1709900771472259
Induction,-0.7770267001633895,-0.2998170875222306
