,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
0,29,5,5,1,1,0,0,0,0,0
1,29,5,5,1,1,0,0,0,0,0
2,74,6,6,4,9,0,0,5,1,11
3,19,2,9,0,0,0,0,4,0,0
4,40,7,4,0,2,0,1,0,0,0
5,34,2,1,4,1,2,0,1,0,0
6,41,4,4,0,0,1,2,1,0,0
7,114,5,8,5,3,0,0,0,0,0
8,66,22,2,0,5,2,0,1,0,2
9,79,2,4,1,2,1,0,0,0,0
10,104,15,7,2,5,8,9,5,0,1
11,71,41,15,3,7,5,5,1,1,0
12,83,9,8,2,2,1,0,3,1,0
13,95,8,3,9,4,3,0,0,0,0
14,81,5,4,5,2,3,0,0,0,0
15,65,21,16,0,3,0,7,0,0,0
16,102,7,11,1,6,0,10,0,0,1
17,22,0,3,0,0,0,3,0,0,0
18,6,12,3,4,1,7,0,0,4,0
19,57,13,15,1,14,0,2,13,0,0
20,31,6,6,1,1,3,2,0,0,0
21,60,9,6,11,10,2,0,1,0,0
22,23,3,3,6,1,2,0,2,1,0
23,56,10,2,0,3,5,0,0,2,0
24,29,9,3,2,1,0,0,0,0,0
25,37,30,8,0,6,0,5,0,0,0
26,37,5,3,3,3,0,3,0,1,0
27,108,8,2,6,5,9,0,1,0,0
28,78,10,10,7,6,1,7,0,0,0
29,21,4,2,1,2,0,0,0,0,0
30,122,10,15,5,0,4,8,1,0,0
31,41,4,4,6,0,2,0,0,0,0
32,42,7,9,9,9,1,0,0,0,0
33,93,2,4,13,4,1,0,2,0,0
34,33,5,0,0,2,0,0,0,0,0
35,119,10,2,5,1,2,2,0,0,2
36,45,5,0,2,2,1,0,0,0,5
37,93,6,4,5,8,0,0,1,1,0
38,52,4,6,10,4,4,0,1,0,0
39,51,0,2,12,0,4,0,0,0,0
40,72,6,1,0,0,1,3,2,0,3
41,68,11,0,2,1,1,4,1,0,0
42,87,9,3,10,0,5,3,10,0,0
43,77,1,5,0,2,5,0,0,0,0
44,65,21,9,10,12,0,0,0,0,0
45,79,8,13,7,0,7,1,0,1,0
46,57,14,1,0,2,0,3,0,0,2
47,47,8,4,1,7,0,0,0,3,0
48,94,6,2,3,3,3,0,4,1,3
49,35,5,12,8,3,0,0,0,0,0
50,53,12,1,0,1,0,1,0,0,0
51,69,3,7,7,0,5,0,4,2,0
52,36,1,4,0,3,0,0,1,0,0
53,45,25,3,4,0,12,0,46,1,0
54,23,11,7,1,0,2,0,0,0,0
55,22,5,2,3,1,1,0,0,0,0
56,22,22,3,1,2,0,5,1,0,0
57,17,10,2,0,4,1,0,0,0,0
58,50,8,3,7,4,3,0,4,0,0
59,97,16,3,0,1,0,2,0,0,0
60,46,8,1,0,2,0,9,0,0,0
61,78,5,2,10,6,0,0,1,0,0
62,129,14,8,0,1,3,2,0,0,2
63,62,3,8,4,4,1,0,0,0,0
64,45,5,2,0,0,2,0,5,4,0
65,45,1,1,2,0,0,0,1,0,0
66,141,22,2,0,1,1,2,4,0,0
67,56,4,5,5,3,2,0,0,0,0
68,57,1,1,2,1,0,4,4,0,2
69,60,3,2,3,1,5,0,1,0,0
