Personas,N-Grams,Total Mentions,Stories Containing Mentions,Average Mentions per Story
Author,"['i', 'me', 'myself']",364829,4608,79.17296006944444
We,"['we', 'us', 'ourselves']",42925,4608,9.315321180555555
Baby,"['baby', 'son', 'daughter']",32941,4493,7.3316269752949035
Doctor,"['doctor', 'dr', 'doc', 'ob', 'obgyn', 'gynecologist', 'physician']",18018,4496,4.007562277580071
Partner,"['partner', 'husband', 'wife']",16691,3760,4.439095744680851
Nurse,['nurse'],12080,3672,3.289760348583878
Midwife,['midwife'],7469,1514,4.9332892998679
Family,"['mom', 'dad', 'mother', 'father', 'brother', 'sister']",6605,3131,2.109549664643884
Anesthesiologist,['anesthesiologist'],2424,1485,1.6323232323232324
Doula,['doula'],1770,451,3.9246119733924614
