,Percent outside CI Pre-COVID,Percent outside CI Post-COVID
section baby would emergency vaginal,0.167816091954023,0.19402985074626866
milk formula breastfeeding breast feeding,0.17011494252873563,0.2537313432835821
days pain day first hospital,0.1724137931034483,0.31343283582089554
get comes says nurse tell,0.19080459770114944,0.16417910447761194
pain epidural contractions point much,0.15862068965517243,0.43283582089552236
blood nicu day hospital home,0.18850574712643678,0.23880597014925373
imgur http jpg https pictures,0.13793103448275862,0.1044776119402985
baby born lbs tear degree,0.17011494252873563,0.2537313432835821
blood pressure high urine doctor,0.19770114942528735,0.29850746268656714
contractions back bed tub midwife,0.16091954022988506,0.19402985074626866
cervix induction hours pitocin started,0.18160919540229886,0.3582089552238806
amp hospital nurses nbsp care,0.167816091954023,0.22388059701492538
baby sleep night time day,0.18850574712643678,0.26865671641791045
water broke fluid felt bathroom,0.16551724137931034,0.1791044776119403
like shit get holy said,0.18850574712643678,0.23880597014925373
like felt feel pain really,0.18160919540229886,0.23880597014925373
one attention time side doctors,0.19540229885057472,0.22388059701492538
room baby recovery skin got,0.18620689655172415,0.2835820895522388
wife back really pain one,0.1839080459770115,0.26865671641791045
due birth weeks date story,0.19080459770114944,0.29850746268656714
epidural pain feel contractions side,0.1793103448275862,0.23880597014925373
heart baby rate monitor back,0.1839080459770115,0.3582089552238806
hospital room car get got,0.167816091954023,0.208955223880597
index,0.15632183908045977,0.7910447761194029
fluid hospital baby test ultrasound,0.15172413793103448,0.208955223880597
section husband surgery spinal room,0.1839080459770115,0.19402985074626866
contractions pitocin water hours started,0.15172413793103448,0.373134328358209
birth reading story stories pregnancy,0.20229885057471264,0.23880597014925373
mom husband family sister time,0.19080459770114944,0.29850746268656714
back head side baby pain,0.1724137931034483,0.26865671641791045
contractions went labor around night,0.16551724137931034,0.19402985074626866
hospital home got get husband,0.2,0.2835820895522388
cord baby skin cut chest,0.1839080459770115,0.2537313432835821
would really get time going,0.1793103448275862,0.23880597014925373
sweep labor day went membrane,0.17471264367816092,0.23880597014925373
weeks pregnancy week baby due,0.15862068965517243,0.26865671641791045
get pee got nurse catheter,0.18620689655172415,0.19402985074626866
anxiety pregnancy first bad headache,0.17701149425287357,0.1791044776119403
said told nurse would doctor,0.1839080459770115,0.31343283582089554
got checked contractions around epidural,0.15862068965517243,0.208955223880597
got little really pretty good,0.1724137931034483,0.14925373134328357
eat food ate water day,0.17011494252873563,0.26865671641791045
baby little love life ever,0.1793103448275862,0.208955223880597
hours like felt would told,0.17471264367816092,0.19402985074626866
started remember husband kept could,0.1839080459770115,0.26865671641791045
contractions minutes apart hospital around,0.17701149425287357,0.1791044776119403
labour midwife gas pain waters,0.18620689655172415,0.1791044776119403
push pushing felt midwife head,0.17701149425287357,0.22388059701492538
baby use hospital pads one,0.2,0.14925373134328357
pushing push baby doctor pushed,0.1793103448275862,0.29850746268656714
birth labor plan baby experience,0.1793103448275862,0.22388059701492538
