title,stories
"Graduated 38+5, attempted home birth became emergency c-section, posterior, positive experience.","[('0.3', 'Called midwives at 3pm when contractions had been at 4-1-1 for 45 min. By the time the midwives got here, to their suprise, I was already fully dilated. Soon after, started pushing (would have started sooner had I known I already had the urge).'), ('0.4', 'Pushing actually took the edge off of the contractions. Pushed for 2 hours to the point where her head could be seen but she was stuck in there due to posterior facing and would not come out. Ambulance was called to drive me to the hospital maternity ward where it was confirmed a c section would be required.'), ('0.5', ""Then sent to ER to be given a spinal. The hardest part was waiting for the spinal while having the urge to push but knowing you can't push her out so just doing fake pushes to take the edge off. I was so happy to be able to relax from the spinal that I didn't even care about the c section.""), ('0.6', ""Chit chatted with my partner while the surgery took place, barely noticing what was going on (you feel some pressure but not pain). Then heard her crying and suddenly remembered why we were here! She was born at 9pm but when I was told the time I didn't believe anyone as time in labour feels like it goes at super speed since you're so focused.""), ('0.7', 'Partner went to see the baby then brought her up against my cheek. After that, he was sent with her to do skin to skin while I was stitched up. Soon after I joined them and got to do skin to skin and immediately learn to breast feed.'), ('0.8', '44 hours in the maternity ward after which felt like tutorial in a video game with the nurses helping learn how to take care of baby. They also help you slowly get walking and check in on your surgery recovery. Overall, I got to do what I wanted, the home birth, up until the very end where it was no longer possible and everything went super smoothly with no risks to myself or baby.'), ('0.9', 'Despite being sent to the hospital, I would still recommend home births as it was a low stress and safe environment to be in (my midwives setup a level 1 hospital in our home) with a solid plan in place for if you need to go to the hospital.')]"
"Birth story: Saoirse born on 06/04/2020, homebirth, fast labour.","[('0.3', 'My husband suggested for me to go in the pool and I barked at him ""don\'t tell me what to do"" but I still went in the pool. The midwife got to us around noon, not long after I got in the pool. I was extremely annoyed everytime the midwife was touching me. The second midwife got there about 15 minutes later.'), ('0.4', ""Around 12:30 my uterus started to push. I can't say that I felt the urge to push, my body just sort of took over and did his own thing, the midwife had a look but I didn't wanted to be touched so she took a step back and let me do my own thing which I'm really grateful for. I went into my own world from that point, I pictured my body pushing like being stuck in a ripe current and I tried to let myself float and not fight it. The midwife told me she thought I fell asleep for a second.""), ('0.5', ""When I reached the ring of fire It was a lot harder to not fight it and I apparently said that I didn't like that feeling. It was really painful, it's the only part I remember feeling any pain during labour. My midwife instructed me to push slowly and I thought to myself that I'm not pushing anyway, my body is. It was a really out of body kind of experience because I don't have the feeling I ever did anything just let things happen how my body wanted to.""), ('0.6', ""Then in one big push I felt the head come out, I touched it and it was the weirdest thing I ever experienced, it'sthe moment the reality of it all hit me. I was having a baby. I didn't enjoy pregnancy at all, the movements, the feeling of having a parasite inside of me but it never felt completely real until that second I touched her head, she wasn't a parasite anymore but my little girl, my little miracle that I made from scratch. At the next push she was completely out and I grabbed her and put her [on my chest](http://imgur.com/a/qEiZKaT)\n\nThe midwife cut the cord once it stop pumping, I got out of the the pool and we did skin to skin for about an hour, I don't remember delivering the placenta it just sort off slide out of me sometimes in that first hour.""), ('0.7', ""It felt gross, it looked gross as well. I had some micro tears that didn't require any stitching, and as much as I enjoyed the labouring experience I really hated when they pushed on my stomach to get the blood clot out. [Saoirse](http://imgur.com/a/pRYql9q) was born at 13:03 on the 6th of April at 37 weeks and 2 day. 2kg 900gr (6lbs 7oz) and 45,5 (18 inches).""), ('0.8', 'She was predicted to be a low birth weight baby for anyone interested in ultrasons accuracy. I\'m not a cheesy person in general but I get why it\'s called the miracle of birth now. My labour was an extremely spriritual and empowering moment. And because I started on a gross and TMI moment I think it\'s only fair I finish on the same note: my postpartum experience so far can be summarised in two words ""night sweats"".'), ('0.9', '')]"
"Graduated! Third time mom 38+5, difficult but positive planned home birth","[('0.3', 'I moved around a lot - on and off the bed, in and out of the shower. Nothing brought me any relief. The midwife checked me at one point and I was 7 cm and I found that incredibly disheartening. I didn’t know how I would be able to finish when I already felt so discouraged. I felt like I was being a huge baby! But of course everyone was lovely and supportive.'), ('0.4', 'I was also agonizing over whether or not we should break my water. With my second breaking my water instantly catapulted me into transition and it was so scary and intense, but he was born 38 minutes after so it was at least fast. I couldn’t decide if I was willing to face that intensity again but knowing that there was a good chance it would speed things along. After going back and forth for a while I decided to do it. My reasoning was that I was already in agony so maybe it would be worth it to speed things along? So the midwife broke my water but it didn’t end up changing anything intensity wise.'), ('0.5', 'It did feel good psychologically, however, to feel like I had “done something”. So we laboured along and at some point she checked me again and I was still at 7 cm! She offered to “help” me though and to manually stretch my cervix over my baby’s head so I could then start pushing. I accepted this offer and it was supremely painful, she had her fingers inside me and with a contraction I had to push while she pushed my cervix aside. If you had asked me before labour if I would do an intervention like that I definitely would have said “no”, but in the moment I was desperate to get the baby out. Now it time to push.'), ('0.6', 'With my second I didn’t have to push at all. I had the fetal ejection reflex and my body did all the work - 4 involuntary pushes and 8 minutes later my second son came flying out, even with a nuchal hand. This time around was very different. I had to push for about an hour and every single push was a hard fought battle. It felt like my tailbone was going to snap with every push and at points I physically couldn’t even do it because it was so painful. Finally I was able to “push past the pain” and my third son was born at 9:38 am.'), ('0.7', 'Thankfully the relief is instant once they are born! He was born in pretty much the same spot as my second son. I held my baby and rested for a couple minutes and then it was time to birth the placenta. With my first two it just kind of came out and I barely noticed. This time I had a real contraction and had to consciously birth the placenta. It was painful but quick.'), ('0.8', 'I did end up hemorrhaging (lost about 1000 mL of blood) so the midwives gave me a pitocin and an ergot shot. Then we got to snuggle in bed and marvel at how cute our precious baby son was - THAT is why I birth at home. We couldn’t believe how tiny he was but it turns out he’s perfectly average sized: 7 lb 3 oz and 21” long. He is 3 days old now but still hasn’t latched - hoping that will fall into place soon. So overall even though it was difficult, it was a good experience. I love being able to just snuggle up in my own bed after birth.'), ('0.9', 'It also wasn’t actually that long - only about 3 hours of intensity but it felt MUCH longer than that to me. I am a little sad that we didn’t get a girl as this was my last chance but I am so thrilled to have a third precious son.')]"
"Graduated at 39 weeks: FTM, water broke at home, fast labor with epidural; a bit dramatic but overall VERY positive [Cross-posted from March Bumpers]","[('0.3', ""No one had checked my cervix at this point because of a risk of infection so we weren't sure where I was at but nurse guessed (for fun) that I was 6-7 and well into active labor. Got the epidural placed and it was the best decision of my life! Placement sucked (you have to stay still in this awkward position while contacting), but then felt so much better and was able to relax. They checked my cervix at this point and was 4 cm - I was pretty bummed I wasn't further along but the resident said I was fully effaced so it could go quickly.""), ('0.4', ""It was 4am at this point so nurse recommended we get some sleep. My husband went and got our suitcases while they placed my catheter and gave me some pitocin to even out contractions. Husband went to put on PJs when baby's heart rate was dropping on the monitors and the nurse called the full team in. They had me switch positions to see if the cord was just getting compressed but  HR was still low.""), ('0.5', ""They rechecked my cervix to see if that was the culprit and sure enough - I had gone from 4 to 10 cm in \\~30 min and that combined with the emptying of my bladder caused the baby to drop pretty suddenly and startle him. His HR came back up and doctor said I was ready to start pushing! He had us try a practice push with the nurse while he finished something up and baby's HR dropped again during the practice, triggering the alarm again and the full team flooding in. Doctor said at this point they needed to get baby out and they would need to use forceps given how far along he already was.""), ('0.6', 'I had a pretty chill birth plan but REALLY wanted to avoid forceps so we started pushing and he was out in 8 min - about 4 contractions. I had heard pushing with the epidural was difficult for FTM but I was able to feel the contractions coming and pushed really hard into my bottom and it seemed to work! Baby Milo was born at 5:21am and was 6lbs 1oz the day after my birthday and &lt;8 hours after my water broke. The nurses were shocked by the speed of everything and warned me next time to get to the hospital ASAP.'), ('0.7', ""It turns out the cord was wrapped around his neck and was a very thin cord which they think was easily compressed and caused the distress while pushing. After birth was a bit of a blur - I know my husband cut the cord and they took Milo's measurements and we spent the golden hour doing skin to skin. It seemed like my placenta was giving them some difficulty because the doctor has to go in with his hands, so thank god for the epidural. I had a first degree tear and got stitched up too.""), ('0.8', ""It was all very surreal afterwards, I was so happy but also in shock everything happened so quickly. Recovery for me has been uneventful. I really felt pretty good afterwards and was up able to walk around within an hour or two. Day 2 and 3 were a lot more sore and my stiches have been painful (I'm crazy impressed by people with 2nd degree+ tears!!)""), ('0.9', 'but it\'s getting better each day and I\'ve barely been bleeding. Milo has had a slightly tougher ride - he was jaundiced at the hospital and hasn\'t been gaining weight as much as our Ped would like so I\'ve had to do a lot of pumping and supplementation of his milk. I\'m squarely in the ""fed is best"" camp, but it\'s still stressful and A LOT of work to do the triple feedings. He\'s the best baby though and I\'m hoping once he gains some weight everything will get easier.')]"
"GRADUATED! 37+3, a harrowing birth experience but I'm finally home...","[('0.3', 'At this point, I felt nauseated &amp; spontaneously threw up a RIVER of black bile. So just call me [Megan Fox](https://64.media.tumblr.com/c26364d55d9e732063e521bb659c4721/tumblr_n4lmpkUnss1snpc3lo1_500.gifv)! Once I threw up demon blood, I then started speaking in tongues.'), ('0.4', ""I was slurring &amp; not able to speak more than gibberish without concentrating REALLY hard to say my name &amp; where I was. It was really scary for both me &amp; my partner, plus my head was still splitting with insane amounts of pain. At this point, the OB goes outside to discuss the situation, then comes back &amp; tells me we're going to do an emergency c-section.""), ('0.5', 'The second that sweet spinal medication w/ morphine hit, I was on cloud 9. They laid me down to prep, I threw up again. Then the cesarean happened within a matter of minutes &amp; my son was crying: the most beautiful sound in the world!'), ('0.6', 'I was SO happy, I told all the people in the OR that I would buy them cookies (&amp; I absolutely will). I got to hold my son for a moment before moving to the recovery room. We spent 6 days in the hospital after that trying to regulate my blood pressure.'), ('0.7', ""Yesterday we FINALLY came home &amp; we could not be more in love with our little man. Despite the preeclampsia &amp; pain recovering from the cesarean, I wouldn't change anything in order to get my beautiful son. Now if I could only poop...\n\n**tl;dr: High blood pressure melted my brain.""), ('0.8', ""I threw up demon blood, spoke in tongues, so we evicted the baby through my belly. He's awesome &amp; I can't sit in a pool for the rest of the summer. **\n\n[Baby Elliot for tax](https://imgur.com/a/IKZ2NHU)""), ('0.9', '')]"
Emergency home birth story,"[('0.3', ""At this point I am in major pain. I am walking around our dining room table holding on to the chairs and gasping. There's a lot of pressure and I can't help but push through some of the contractions. I think I'm pooping so I go to the bathroom. It's a little easier to deal with the pain on the toilet and I am pushing through contractions. I had the idea that if I pooped, it would make me feel better. I was still in denial that I was actually having a baby.""), ('0.4', 'I was just trying to relieve the pressure. My husband comes in and sees me on the toilet. I tell him that I might not make it to the hospital. I am still pushing at very soon I feel that the baby is crowning. 911 is on speaker phone in the bathroom, they tell me to lay down. Absolutely no chance of that happening. I stand up and the head is coming out.'), ('0.5', 'I push and my baby girl is born on my bathroom floor. The umbilical cord snapped so my husband had to pinch it and try to clamp it with a rubber band. The baby is crying and we wrapped her in a bathroom towel. The babysitter shows up a minute later. She told me that she heard the crying from the front door. The bathroom looks like a murder scene. The ambulance shows up just a couple minutes later.'), ('0.6', ""The baby looks great - APGAR of 10. We go to the hospital. I am covered in blood and still bleeding pretty heavily. The EMT offers to give me something for pain but says that everything she has interferes with breastfeeding, so I decline. At the hospital we are greeted by what looks like the entire staff of the emergency room. I'm not sure why, I think they just all wanted to see me and the baby. I'm wheeled up to labor and delivery.""), ('0.7', 'I still have to deliver the placenta, which is easy but painful. This was actually the worst part. My adrenaline was fading so I felt everything. Again I am offered something for pain, but the doctor says that it will take time to place an IV and she seems like she wants me to refuse, so I do. Very dumb of me. Everything hurt like hell and I should have asked for some pain relief. I get local anesthetic for a few stitches.'), ('0.8', ""Then we get to a recovery room and finally get some time to process. It happened so, so quickly. We're all okay, thank goodness. Baby is doing just great and she's very healthy. I had such an easy pregnancy and such a long labor with my first that I didn't know what was happening. I'm recovering well too! That was much longer than I expected, thanks for reading if you made it this far!""), ('0.9', '')]"
39+1 home birth story!,"[('0.3', 'Midwife arrived around 930pm and checked me - I was 4cm and after the check they got more painful and close together. Midwife had her assistant head over while she and husband filled the pool with warm water. The next few hours were frustrating, around 1130pm she checked me again because the pain was really ramping up and I thought I must have dilated more but I was 6cm. I had just been floating around the pool mostly sitting so she suggested changing positions.'), ('0.4', 'I tried hands and knees, squatting, and leaning over the couch alternating the 3 while my husband and daughter took turns massaging my lower back and feeding me freezies haha \n\nAfter an hour of that it gets blurry it was just super painful but the position change helped me dilate a lot faster. Back in the tub and around 1am I was 10cm and she said to try pushing. With both my previous births I felt the urge to push but I wasn’t feeling it I just felt so much pain and I started panicking I couldn’t do it. My husband got into the pool with me and sat behind me - my midwife had my daughter hold my hand and she said to focus on the pain and when I thought it was peaking to just push regardless of whether I felt it.'), ('0.5', 'My daughter felt me squeezing her hand and she said she could tell when the pain peaked by how much I was crushing it (sorry baby lol) and she just started yelling “now, push now! !” After 3 pushes I could feel him moving down and holy fuck ouch. I started the whole crying I can’t do this routine but the urge to push came quickly and 2 more pushes and midwife grabbed my hands and said “pull the baby out”. 1:47am Levi Anthony was born!!'), ('0.6', '7lbs 12oz, 20inches. I pulled him onto my chest and my husband peeked over and whispered “it’s a boy” to me. We snuggled in the pool a bit before I handed him over to be weighed, cord cut, and checked over etc. and my midwife checked me over.'), ('0.7', 'After a third degree tear with my twins I feared the worst but I had a small 1st degree tear that needed a small stitch and that’s it! Delivered the placenta and all that fun stuff. When I got him back he latched right away and fed for about half an hour before falling asleep. My husband and daughter did some skin to skin while I stuffed my face and it was really just the most perfect scene to me.'), ('0.8', 'Midwife came back today and he’s been feeding well the last 24 hours. I’m sore and tired but so so so happy and in love. I can’t wait for mine and my husband’s kids to meet him. I’ve also been so happy to be home for all of this, it was so much more relaxing than my hospital births and I didn’t have the anxiety of people I didn’t know coming in or telling me what to do.'), ('0.9', '')]"
"Two for one birth stories, plus bonus suprise home birth!","[('0.3', 'Eventually, midwife standing next to me shrugs and says ""I don\'t know what we can do if she can\'t listen to us"" and POP! Out flew baby, husband caught him on the first bounce. &amp;#x200B;\n\nWith the relief of not being in pain I came back to my senses a bit, but was still too high to understand what was going on mostly. It was about 10pm when he came out, so maybe 12h since I\'d woken up that morning, but he was here! And he was wonderful. &amp;#x200B;\n\n&amp;#x200B;\n\nBaby 2 arrived naturally at 38+6, and we were NOT READY.'), ('0.4', ""Since Baby 1 was so late, I just assumed that Baby 2 would be too, big mistake! &amp;#x200B;\n\nAt 7pm, I felt something strange in my stomach, while husband put Baby 1 to bed, and texted him that maybe my labour was starting, but obviously we had at least a day left before baby, and we really didn't want to call the baby sitter if we were going to go to hospital just to get sent back. &amp;#x200B;\n\nSo, I head to the shower as I've heard it can help with the early stages on pain, intermittently texting my husband that I'm bored and hungry. He arrives later with my laptop playing a TV show and props it up where I can see it from the shower and a chocolate strawberry crepe delivered from the local dessert place. I swear, I've never loved anyone as much as I loved him in that moment. &amp;#x200B;\n\nContractions continue, he comes in to check on me at about 8.30pm to see how I'm doing.""), ('0.5', ""They hurt, but they're pretty far apart and short so no worries. Maybe he can start putting the hospital bag together? (Told you we weren't ready...) \n\nThe only catch being ALL the new baby stuff is still in the loft. And he can't find it. So I'm having to shout directions from the shower between contractions, and he's hunting but no luck. Fine, baby can wear a blanket until we can get to a shop...\n\n&amp;#x200B;\n\nHe comes back to check on me about 9pm, getting a bit worried about the noises I'm making.""), ('0.6', ""Calls the midwife unit, against my protests, and gives them my stats (contraction length and spacing), and they agree with me that it's probably going to be a while yet, no rush to get in. Then they hear me moaning. Their attitude completely changes, you have to get here NOW, GET IN THE CAR. Husband panics, asks me to get myself downstairs and into the car. I manage to drag on my nightie, and slowly stagger down the stairs while he calls the baby sitter and gets whatever he can grab for the hospital bag. &amp;#x200B;\n\nWhen I make it to the bottom of the stairs I stop for a rest for 5 minutes and my water breaks all over the carpet.""), ('0.7', 'Let husband know, he shouts to get into the car, and if I get the urge to push, DO NOT PUSH. I stagger my way out to the car, get sat in when the urge hits me, and I let my husband know as he\'s loading the bag into the car. The Urge cannot be ignored, so as he\'s trying to climb in the driver\'s seat I alert him to the fact the baby\'s head is about to make an appearance (I thought I did so rather eloquently, but I was informed after the fact that I just screamed ""HEAD!! at him and he had to work it out for himself)\n\n&amp;#x200B;\n\nHe dashes around to the passenger door and braces to catch. Then the babysitter arrives, and wanders over with a ""Why aren\'t you guys gone alre... More screaming ensues (""AMBULAAAAANCE""), and baby pops out into his father\'s arms, at 10pm.'), ('0.8', '&amp;#x200B;\n\nHe gives the baby to me while he tries to find blankets and towels to keep me and baby warm without us having to move. Ambulance arrives half an hour later, and gives me a once over but says I\'m fine and no stitches needed! Midwife arrives 10 minutes later and reports that baby is also fine! Poor babysitter, after getting quite the eyefull earlier, runs to the shops and buys us some baby clothes (Hooray!). Then we all head to bed at only 11pm- that\'s 3 hours between ""My tummy feels funny"" and baby! Not a bad turnaround.'), ('0.9', ""&amp;#x200B;\n\n&amp;#x200B;\n\nAfter catching both babies, husband now has Midwife on his CV 😁 And we're planning to leave for the hospital as soon as I have a twinge this time round."")]"
"Graduated 39+4: planned homebirth turned planned hospital induction, 4 hour labor!","[('0.3', 'I felt like a child crawling back to the grown ups saying “I made a dumb mistake”. I also had to break up with the homebirth midwife. Which felt like breaking up with a friend. I mostly just felt defeated. This pandemic has been so stressful. I’ve had to make so many hard choices about work and childcare while remaining calm and adult and watching idiots lick each other. Honestly, everyone has been so kind. Homebirth midwife knows many of the hospital midwives, was super supportive and I think a little relieved that she can just isolate and take care of herself. Everyone at the hospital was supportive and straight up said they understood. Also, the more accurate covid test came back negative. MASKS WORK, PEOPLE. *Back to the Hospital and labor*\n\nHospital midwife listened to our situation (we need to schedule something for childcare) and completely understood. She checked labor and delivery and they could induce me next Friday ooooorrrr tomorrow, 5:30am. We picked tomorrow because our babysitter has the weekend off. And that was that. We went from all natural nonintervention to scheduled induction in about 10 minutes.'), ('0.4', 'The hospital’s policy was that my husband could be with me, he just can’t leave and come back in. So once we check in and get tested, we are in. We have to wear masks whenever someone is in the room, but they are doing fewer checks than usual and a 24 hr check out if everything is normal. Babysitter spent the night with us that night, we walked into the hospital at 5:30 AM. Both got the covid quick test, both were negative. Pitocin was hooked up around 6:30, started low. Water broken around 7:30. Contractions were pretty chill. Did you know Comedy Central has about 6 hours of the Office on in the morning? I sat on the edge of the bed and laughed my way through an hour. They cranked pitocin up occasionally, but I never went over 10. Contractions started getting harder to sit through. But unlike my last induction, the contractions definitely peaked and retreated. I was able to rest and relax between. I forced myself to take a break, untense. After a while, I handled contractions by standing and “dancing” with my husband.'), ('0.5', 'It felt good to press my face into his chest and he did a good job of “rocking” me when the pain got heavy and I didn’t want to move. I tried to relax through the contraction. It was hard and took a lot of mental concentration, but I tried not to clamp my pelvic floor tight and relax my legs as much as possible. I took my stress out on my husbands chest with my head. I felt like this stage wasn’t that long, but also forever? I got mad at the office and turned it off. Contractions were about 2 mins apart, and I moaned through them. I got super nauseous at this point, but only during contractions. I should have taken that as a sign. It was about this point that I decided I might want an epidural, but kept telling myself “just wait after the next one”. I never felt “pressure”, but I could feel something change in my pelvis. When asked, I felt like I had diarrhea and was about to shit myself. It wasn’t “I have to poop” it was “I need to find a toilet because poop is coming”. This is when things changed. When the nurse heard this she said “do not try to poop on the toilet” and asked to check me. I couldn’t really lay down, but I noticed some of the other nurses started pulling in baby stuff - the warmer, the cart for the placenta.'), ('0.6', 'I looked around and said “wait, why is that here?” And the nurse laughed and said “you’re having a baby”. This had to be like.... 10:30am? It was reeeeally hard to lay down for the cervical check. I waited until between a contraction and sort of fell over. After this point I really felt like I couldn’t move. I had to be moved. She checked and said I was 8 cm, but the baby was right there. Then a bunch of nurses came in, I was NOT a lot of help. They were trying to stick pads under me and I couldn’t lift my pelvis. I think I had about two more contractions before it felt like I was pooping. That’s because I was pooping. I was hunched over on my side and told them I was pooping and someone said “no, you’re pushing!”\n\nMy husband helped hold a leg and the other midwife pushed it up near my head. So I was laying on my left side, my left leg sort of bent, my right leg being pushed up towards my head. One of the nurses told me to curl around my belly to help push. I think I sort of bowed my head, but I didn’t feel like I could move much more. Pushing was super surreal because all I could think of was “this is everything I’ve ever read”.'), ('0.7', 'Between contractions I could relax (sort of). As I pushed, I could feel her coming. I really couldn’t push outside of contractions. It’s crazy how the force of the contraction made pushing so much more effective. About 4 pushes in I could feel her crowning. The contraction ended and she was right there, so we hung out in the ring of fire. Mentally, I knew this was “good”, but god it hurt. I know I started whimpering “I can’t do this and it hurts too much”. The nurse said “She’s coming on the next push, take a deep breath and let’s do this”. I could feel the next contraction coming, warned everyone, and took a deep breath and just kept pushing. Suddenly the midwife was shouting “Look at me” and I said “Noooo” and my husband said “No, really, LOOK”. I looked down and there was a baby. She was super cheesy. They put her on my chest and we waited for the placenta. And it was... over. I asked for an epidural at that point.'), ('0.8', 'They called the birth at 11:26. So from water breaking to birth it was only FOUR HOURS. We got to order lunch. The placenta came out and that kind of felt good. I had a 1 degree tear and needed a couple stitches. And she’s here! She came out so fast her head is perfectly round. She’s healthy. I was up and walking around apparently too fast (I scared the nurse). I am grateful I didn’t have pain relief and got to feel all the stuff, but that epidural sure was nice last time. After all of the stress Covid has caused, it is actually a huge relief to have the birth over. My only advice for moms right now is to do what you feel safe doing. When homebirth no longer felt safe, I sucked it up transferred back to the hospital. I’m glad I did, because I know we are healthy and can go home and isolate again. I mean, also if you can get yourself one of those 4 hour labors, I highly recommend. Being pregnant during a pandemic sucks.'), ('0.9', 'I am so grateful it is over.')]"
"Graduated February 3! Positive home birth, gender surprise, LONG-ASS STORY","[('0.3', 'We started seeing progress signs: I had copious bloody show, threw up, and my waters broke! But…it still seemed like my body wasn’t coordinating itself well! My cervix was still not fully dilating, and then the kids all woke up, and labor slowed drastically. The whole morning is more of a blur. I know the kids woke up and my husband helped them to get dressed and eat breakfast. We pulled out the breakfast casserole I’d made and shared it around. I wasn’t hungry at all. I nibbled on cheese and a Clif bar to try to keep up my strength. My three year old went next door to my in-laws’ while the older girls stayed home. Later in the morning we went for a walk to get contractions to pick up, but. Around 1 I laid down again and napped between contractions for a while.'), ('0.4', 'My midwives rested some too, and so did my husband. The midwives debated leaving, but between the still-strong contractions, the bloody show, and the water breaking earlier, they knew that labor could step up quickly at any time and they decided to stay. Around 3 my MIL said she wasn’t feeling well - she’d gotten her second Covid shot the day before and got the typical low fever and body aches. My sister in law took off early from work to come watch the kids for us. And this is where things started to turn. We sent the big ones to Grammie’s house to be with their aunt, and then my mom brain shut off and my birthing brain took over. I didn’t realize that having the kids around was detrimental to my progress, but as soon as they left and I could focus on my work, the contractions got a lot more intense. I was so tired. This was around 5 pm. My midwives were giving me lots of encouragement but my contractions were all in my back at this point and I HAAAATE back labor with all my heart. At maybe 5:30 I put my head down on the counter in the kitchen where I was laboring and just cried and cried.'), ('0.5', 'I couldn’t tell you why I was crying but I was ugly crying. Once I released that, I went back to bed. My main midwife asked if I was afraid of something. I said yes: twice now we’ve gotten to the point where I feel like pushing but my cervix wasn’t ready. I don’t think I have the strength to do that again. This baby has to come now. We did a cervix check. I was close to complete and there was a bag of waters still intact in there. So only part of the bag had broken earlier. We did one contraction with my midwife pushing the cervix back to try to get that last bit to melt away. I’ve heard women talk about this.'), ('0.6', ""It is NOT A FUN EXPERIENCE. Then we started discussing whether we should break the waters. I was for it, but I was also scared of labor ramping up even more intensely than it was already. My husband wasn’t a huge fan - what if the cord prolapsed? What if there's a reason the water is still intact? And on the next contraction, the waters broke on their own. This is when shit got REALLY REAL. I couldn’t take the contractions lying on my back anymore and I scrambled to all fours so my husband could give counter pressure. I can’t remember what I said - I think what came out of my mouth was “I gotta get up.” What I meant was “I can’t be on my back anymore.” My husband and my midwives were like HOLD ON YOU CAN’T LEAVE! I was so confused; I wasn’t leaving! And then my body took over and was like PUSHING TIME NOW.""), ('0.7', 'I screamed and yelled and my midwife put on what she calls her Midwife Voice to inform me that I was being a dingbat and should remember to breathe. It came out as a powerful ""BREATHE!!!!"" I took a huge gasp of air and bore down with all the remaining power in me. I grabbed the assistant midwife’s hand and squeezed her fingers until, I’m sure, they hurt. She didn’t say a word. She squeezed right back and gave amazing encouragement while my main midwife talked me through what the baby was doing. I was also yelling at my husband to PUSH ON MY BACK HARDER. And then as I was pushing, my pretty hemorrhoids started to prolapse so my midwife, while providing support to my perineum, also pushed back against my butthole. I kind of lost it. I yelled PLEASE STOP TOUCHING MY BUTT and she didn’t, she kept doing her job and did it so well. Baby was barreling down.'), ('0.8', 'My midwife was saying “head is in view. 3 centimeters out, 4 centimeters.” I loved that verbal progress meter. She was still providing counter pressure so the baby, who was attempting to crown with BOTH HANDS by their face, wouldn’t tear me (and I had needed stitches in every birth to this point). She actually pushed baby’s hands back in and baby’s head was born. The pressure was still tremendous, and though I wasn’t having a contraction, I still kept pushing to get baby’s shoulders born. Husband was encouraging me to keep pushing but suddenly this from my midwife cut through my lizard birthing brain: ""Stop! I have to get the cord off! It’s around the neck!” It took all I had but I stopped. She unwound the cord. Next contraction - which was maybe 30 seconds later - I pushed the rest of my baby out and then I think I laid my head on the bed and sobbed. Baby was wailing beautifully.'), ('0.9', ""I asked my husband “Who do we have? ?” He looked - or tried to; baby had a very long cord and it was all in the way. Then he finally saw. “It’s a girl!”\n\nIt was 6:22 pm. It had been 7 minutes since my water broke. Postpartum recovery has actually been the easiest one so far. Thanks to my midwife's intense perineal support, I didn't need stitches for the first time EVER! Baby has a slight tongue tie so nursing is a little painful, but she seems to be getting what she needs and a nipple shield is helping me keep my nipples intact. Also my midwife is amazing; she came over for a postpartum visit on Saturday and made sure to talk through the labor and birth with me and my husband. I am so glad we had her by our side."")]"
